Tarih,Doviz Alis,Doviz Satis,Efektif Alis,Efektif Satis
0102,1.7708,1.7793,1.7696,1.7820
0103,1.7729,1.7815,1.7717,1.7842
0104,1.7800,1.7886,1.7788,1.7913
0107,1.7736,1.7822,1.7724,1.7849
0108,1.7705,1.7790,1.7693,1.7817
0109,1.7692,1.7777,1.7680,1.7804
0110,1.7668,1.7753,1.7656,1.7780
0111,1.7624,1.7709,1.7612,1.7736
0114,1.7612,1.7697,1.7600,1.7724
0115,1.7629,1.7714,1.7617,1.7741
0116,1.7620,1.7705,1.7608,1.7732
0117,1.7510,1.7594,1.7498,1.7620
0118,1.7496,1.7580,1.7484,1.7606
0121,1.7540,1.7625,1.7528,1.7651
0122,1.7572,1.7657,1.7560,1.7683
0123,1.7622,1.7707,1.7610,1.7734
0124,1.7625,1.7710,1.7613,1.7737
0125,1.7571,1.7656,1.7559,1.7682
0128,1.7597,1.7682,1.7585,1.7709
0129,1.7629,1.7714,1.7617,1.7741
0130,1.7588,1.7673,1.7576,1.7700
0131,1.7548,1.7633,1.7536,1.7659
0201,1.7462,1.7546,1.7450,1.7572
0204,1.7459,1.7543,1.7447,1.7569
0205,1.7509,1.7593,1.7497,1.7619
0206,1.7569,1.7654,1.7557,1.7680
0207,1.7601,1.7686,1.7589,1.7713
0208,1.7635,1.7720,1.7623,1.7747
0211,1.7647,1.7732,1.7635,1.7759
0212,1.7667,1.7752,1.7655,1.7779
0213,1.7590,1.7675,1.7578,1.7702
0214,1.7619,1.7704,1.7607,1.7731
0215,1.7675,1.7707,1.7663,1.7734
0218,1.7651,1.7683,1.7639,1.7710
0219,1.7698,1.7730,1.7686,1.7757
0220,1.7760,1.7792,1.7748,1.7819
0221,1.7911,1.7943,1.7898,1.7970
0222,1.7904,1.7936,1.7891,1.7963
0225,1.7961,1.7994,1.7948,1.8021
0226,1.8069,1.8102,1.8056,1.8129
0227,1.8050,1.8082,1.8037,1.8109
0228,1.7955,1.7988,1.7942,1.8015
0301,1.8010,1.8042,1.7997,1.8069
0304,1.8021,1.8054,1.8008,1.8081
0305,1.7949,1.7981,1.7936,1.8008
0306,1.7914,1.7946,1.7901,1.7973
0307,1.7969,1.8002,1.7956,1.8029
0308,1.7949,1.7981,1.7936,1.8008
0311,1.8028,1.8061,1.8015,1.8088
0312,1.8021,1.8054,1.8008,1.8081
0313,1.8060,1.8092,1.8047,1.8119
0314,1.8129,1.8162,1.8116,1.8189
0315,1.8085,1.8117,1.8072,1.8144
0318,1.8137,1.8170,1.8124,1.8197
0319,1.8151,1.8184,1.8138,1.8211
0320,1.8187,1.8220,1.8174,1.8247
0321,1.8151,1.8184,1.8138,1.8211
0322,1.8174,1.8207,1.8161,1.8234
0325,1.8140,1.8172,1.8127,1.8199
0326,1.8168,1.8200,1.8155,1.8227
0327,1.8176,1.8209,1.8163,1.8236
0328,1.8137,1.8170,1.8124,1.8197
0329,1.8087,1.8120,1.8074,1.8147
0401,1.8099,1.8131,1.8086,1.8158
0402,1.8049,1.8081,1.8036,1.8108
0403,1.8061,1.8093,1.8048,1.8120
0404,1.8075,1.8108,1.8062,1.8135
0405,1.8007,1.8039,1.7994,1.8066
0408,1.7881,1.7913,1.7868,1.7940
0409,1.7830,1.7862,1.7818,1.7889
0410,1.7834,1.7866,1.7822,1.7893
0411,1.7849,1.7881,1.7837,1.7908
0412,1.7883,1.7915,1.7870,1.7942
0415,1.7890,1.7922,1.7877,1.7949
0416,1.7921,1.7954,1.7908,1.7981
0417,1.7887,1.7920,1.7874,1.7947
0418,1.7944,1.7976,1.7931,1.8003
0419,1.7965,1.7997,1.7952,1.8024
0422,1.8016,1.8048,1.8003,1.8075
0424,1.8034,1.8066,1.8021,1.8093
0425,1.7990,1.8022,1.7977,1.8049
0426,1.8004,1.8036,1.7991,1.8063
0429,1.7953,1.7985,1.7940,1.8012
0430,1.7963,1.7995,1.7950,1.8022
0502,1.7927,1.7959,1.7914,1.7986
0503,1.7942,1.7974,1.7929,1.8001
0506,1.7947,1.7979,1.7934,1.8006
0507,1.7991,1.8023,1.7978,1.8050
0508,1.7938,1.7970,1.7925,1.7997
0509,1.7899,1.7932,1.7886,1.7959
0510,1.8001,1.8033,1.7988,1.8060
0513,1.8059,1.8092,1.8046,1.8119
0514,1.8102,1.8134,1.8089,1.8161
0515,1.8201,1.8234,1.8188,1.8261
0516,1.8227,1.8260,1.8214,1.8287
0517,1.8343,1.8376,1.8330,1.8404
0520,1.8428,1.8461,1.8415,1.8489
0521,1.8475,1.8508,1.8462,1.8536
0522,1.8401,1.8434,1.8388,1.8462
0523,1.8502,1.8535,1.8489,1.8563
0524,1.8433,1.8466,1.8420,1.8494
0527,1.8442,1.8475,1.8429,1.8503
0528,1.8487,1.8520,1.8474,1.8548
0529,1.8642,1.8676,1.8629,1.8704
0530,1.8661,1.8695,1.8648,1.8723
0531,1.8842,1.8876,1.8829,1.8904
0603,1.8902,1.8936,1.8889,1.8964
0604,1.8745,1.8779,1.8732,1.8807
0605,1.8796,1.8830,1.8783,1.8858
0606,1.8860,1.8894,1.8847,1.8922
0607,1.8862,1.8896,1.8849,1.8924
0610,1.8941,1.8975,1.8928,1.9003
0611,1.8943,1.8977,1.8930,1.9005
0612,1.8758,1.8792,1.8745,1.8820
0613,1.8680,1.8713,1.8667,1.8741
0614,1.8534,1.8567,1.8521,1.8595
0617,1.8654,1.8688,1.8641,1.8716
0618,1.8758,1.8792,1.8745,1.8820
0619,1.8811,1.8845,1.8798,1.8873
0620,1.9166,1.9200,1.9153,1.9229
0621,1.9312,1.9347,1.9298,1.9376
0624,1.9407,1.9442,1.9393,1.9471
0625,1.9339,1.9373,1.9325,1.9402
0626,1.9320,1.9355,1.9306,1.9384
0627,1.9272,1.9306,1.9259,1.9335
0628,1.9248,1.9282,1.9235,1.9311
0701,1.9235,1.9269,1.9222,1.9298
0702,1.9216,1.9250,1.9203,1.9279
0703,1.9477,1.9512,1.9463,1.9541
0704,1.9482,1.9517,1.9468,1.9546
0705,1.9474,1.9509,1.9460,1.9538
0708,1.9510,1.9545,1.9496,1.9574
0709,1.9386,1.9421,1.9372,1.9450
0710,1.9436,1.9471,1.9422,1.9500
0711,1.9400,1.9435,1.9386,1.9464
0712,1.9573,1.9608,1.9559,1.9637
0715,1.9409,1.9444,1.9395,1.9473
0716,1.9276,1.9311,1.9263,1.9340
0717,1.9252,1.9287,1.9239,1.9316
0718,1.9164,1.9199,1.9151,1.9228
0719,1.9213,1.9247,1.9200,1.9276
0722,1.9151,1.9186,1.9138,1.9215
0723,1.9117,1.9152,1.9104,1.9181
0724,1.9068,1.9103,1.9055,1.9132
0725,1.9247,1.9282,1.9234,1.9311
0726,1.9201,1.9236,1.9188,1.9265
0729,1.9235,1.9270,1.9222,1.9299
0730,1.9241,1.9276,1.9228,1.9305
0731,1.9309,1.9343,1.9295,1.9372
0801,1.9349,1.9384,1.9335,1.9413
0802,1.9453,1.9488,1.9439,1.9517
0805,1.9282,1.9316,1.9269,1.9345
0806,1.9292,1.9327,1.9278,1.9356
0812,1.9231,1.9265,1.9218,1.9294
0813,1.9255,1.9290,1.9242,1.9319
0814,1.9358,1.9392,1.9344,1.9421
0815,1.9286,1.9321,1.9272,1.9350
0816,1.9342,1.9377,1.9328,1.9406
0819,1.9468,1.9503,1.9454,1.9532
0820,1.9480,1.9515,1.9466,1.9544
0821,1.9580,1.9615,1.9566,1.9644
0822,1.9835,1.9871,1.9821,1.9901
0823,1.9849,1.9885,1.9835,1.9915
0826,1.9951,1.9987,1.9937,2.0017
0827,2.0225,2.0262,2.0211,2.0292
0828,2.0557,2.0594,2.0543,2.0625
0829,2.0311,2.0348,2.0297,2.0379
0902,2.0160,2.0197,2.0146,2.0227
0903,2.0415,2.0452,2.0401,2.0483
0904,2.0540,2.0577,2.0526,2.0608
0905,2.0732,2.0770,2.0717,2.0801
0906,2.0630,2.0668,2.0616,2.0699
0909,2.0383,2.0420,2.0369,2.0451
0910,2.0285,2.0321,2.0271,2.0351
0911,2.0137,2.0173,2.0123,2.0203
0912,2.0213,2.0250,2.0199,2.0280
0913,2.0257,2.0294,2.0243,2.0324
0916,1.9927,1.9963,1.9913,1.9993
0917,2.0045,2.0081,2.0031,2.0111
0918,2.0023,2.0059,2.0009,2.0089
0919,1.9522,1.9557,1.9508,1.9586
0920,1.9720,1.9755,1.9706,1.9785
0923,1.9856,1.9892,1.9842,1.9922
0924,1.9946,1.9981,1.9932,2.0011
0925,2.0034,2.0070,2.0020,2.0100
0926,2.0123,2.0159,2.0109,2.0189
0927,2.0342,2.0378,2.0328,2.0409
0930,2.0365,2.0402,2.0351,2.0433
1001,2.0102,2.0138,2.0088,2.0168
1002,2.0187,2.0223,2.0173,2.0253
1003,1.9989,2.0025,1.9975,2.0055
1004,1.9964,2.0000,1.9950,2.0030
1007,1.9961,1.9997,1.9947,2.0027
1008,1.9875,1.9911,1.9861,1.9941
1009,1.9871,1.9907,1.9857,1.9937
1010,1.9775,1.9811,1.9761,1.9841
1011,1.9764,1.9799,1.9750,1.9829
1021,1.9746,1.9782,1.9732,1.9812
1022,1.9802,1.9837,1.9788,1.9867
1023,1.9738,1.9773,1.9724,1.9803
1024,1.9760,1.9796,1.9746,1.9826
1025,1.9853,1.9888,1.9839,1.9918
1030,1.9888,1.9923,1.9874,1.9953
1031,1.9895,1.9930,1.9881,1.9960
1101,2.0063,2.0099,2.0049,2.0129
1104,2.0178,2.0214,2.0164,2.0244
1105,2.0235,2.0271,2.0221,2.0301
1106,2.0262,2.0299,2.0248,2.0329
1107,2.0306,2.0343,2.0292,2.0374
1108,2.0265,2.0302,2.0251,2.0332
1111,2.0358,2.0395,2.0344,2.0426
1112,2.0500,2.0537,2.0486,2.0568
1113,2.0516,2.0553,2.0502,2.0584
1114,2.0442,2.0479,2.0428,2.0510
1115,2.0374,2.0411,2.0360,2.0442
1118,2.0201,2.0238,2.0187,2.0268
1119,2.0169,2.0206,2.0155,2.0236
1120,2.0098,2.0134,2.0084,2.0164
1121,2.0181,2.0217,2.0167,2.0247
1122,2.0164,2.0201,2.0150,2.0231
1125,1.9969,2.0005,1.9955,2.0035
1126,2.0071,2.0107,2.0057,2.0137
1127,2.0154,2.0190,2.0140,2.0220
1128,2.0166,2.0203,2.0152,2.0233
1129,2.0174,2.0211,2.0160,2.0241
1202,2.0282,2.0319,2.0268,2.0349
1203,2.0359,2.0395,2.0345,2.0426
1204,2.0455,2.0492,2.0441,2.0523
1205,2.0482,2.0519,2.0468,2.0550
1206,2.0394,2.0431,2.0380,2.0462
1209,2.0313,2.0349,2.0299,2.0380
1210,2.0265,2.0301,2.0251,2.0331
1211,2.0294,2.0330,2.0280,2.0360
1212,2.0370,2.0407,2.0356,2.0438
1213,2.0404,2.0441,2.0390,2.0472
1216,2.0337,2.0373,2.0323,2.0404
1217,2.0372,2.0409,2.0358,2.0440
1218,2.0423,2.0459,2.0409,2.0490
1219,2.0608,2.0645,2.0594,2.0676
1220,2.0890,2.0928,2.0875,2.0959
1223,2.0877,2.0914,2.0862,2.0945
1224,2.0812,2.0849,2.0797,2.0880
1225,2.0710,2.0748,2.0696,2.0779
1226,2.0957,2.0994,2.0942,2.1025
1227,2.1604,2.1642,2.1589,2.1674
1230,2.1343,2.1381,2.1328,2.1413
1231,2.1304,2.1343,2.1289,2.1375
=======
Tarih,Doviz Alis,Doviz Satis,Efektif Alis,Efektif Satis
0102,1.7708,1.7793,1.7696,1.7820
0103,1.7729,1.7815,1.7717,1.7842
0104,1.7800,1.7886,1.7788,1.7913
0107,1.7736,1.7822,1.7724,1.7849
0108,1.7705,1.7790,1.7693,1.7817
0109,1.7692,1.7777,1.7680,1.7804
0110,1.7668,1.7753,1.7656,1.7780
0111,1.7624,1.7709,1.7612,1.7736
0114,1.7612,1.7697,1.7600,1.7724
0115,1.7629,1.7714,1.7617,1.7741
0116,1.7620,1.7705,1.7608,1.7732
0117,1.7510,1.7594,1.7498,1.7620
0118,1.7496,1.7580,1.7484,1.7606
0121,1.7540,1.7625,1.7528,1.7651
0122,1.7572,1.7657,1.7560,1.7683
0123,1.7622,1.7707,1.7610,1.7734
0124,1.7625,1.7710,1.7613,1.7737
0125,1.7571,1.7656,1.7559,1.7682
0128,1.7597,1.7682,1.7585,1.7709
0129,1.7629,1.7714,1.7617,1.7741
0130,1.7588,1.7673,1.7576,1.7700
0131,1.7548,1.7633,1.7536,1.7659
0201,1.7462,1.7546,1.7450,1.7572
0204,1.7459,1.7543,1.7447,1.7569
0205,1.7509,1.7593,1.7497,1.7619
0206,1.7569,1.7654,1.7557,1.7680
0207,1.7601,1.7686,1.7589,1.7713
0208,1.7635,1.7720,1.7623,1.7747
0211,1.7647,1.7732,1.7635,1.7759
0212,1.7667,1.7752,1.7655,1.7779
0213,1.7590,1.7675,1.7578,1.7702
0214,1.7619,1.7704,1.7607,1.7731
0215,1.7675,1.7707,1.7663,1.7734
0218,1.7651,1.7683,1.7639,1.7710
0219,1.7698,1.7730,1.7686,1.7757
0220,1.7760,1.7792,1.7748,1.7819
0221,1.7911,1.7943,1.7898,1.7970
0222,1.7904,1.7936,1.7891,1.7963
0225,1.7961,1.7994,1.7948,1.8021
0226,1.8069,1.8102,1.8056,1.8129
0227,1.8050,1.8082,1.8037,1.8109
0228,1.7955,1.7988,1.7942,1.8015
0301,1.8010,1.8042,1.7997,1.8069
0304,1.8021,1.8054,1.8008,1.8081
0305,1.7949,1.7981,1.7936,1.8008
0306,1.7914,1.7946,1.7901,1.7973
0307,1.7969,1.8002,1.7956,1.8029
0308,1.7949,1.7981,1.7936,1.8008
0311,1.8028,1.8061,1.8015,1.8088
0312,1.8021,1.8054,1.8008,1.8081
0313,1.8060,1.8092,1.8047,1.8119
0314,1.8129,1.8162,1.8116,1.8189
0315,1.8085,1.8117,1.8072,1.8144
0318,1.8137,1.8170,1.8124,1.8197
0319,1.8151,1.8184,1.8138,1.8211
0320,1.8187,1.8220,1.8174,1.8247
0321,1.8151,1.8184,1.8138,1.8211
0322,1.8174,1.8207,1.8161,1.8234
0325,1.8140,1.8172,1.8127,1.8199
0326,1.8168,1.8200,1.8155,1.8227
0327,1.8176,1.8209,1.8163,1.8236
0328,1.8137,1.8170,1.8124,1.8197
0329,1.8087,1.8120,1.8074,1.8147
0401,1.8099,1.8131,1.8086,1.8158
0402,1.8049,1.8081,1.8036,1.8108
0403,1.8061,1.8093,1.8048,1.8120
0404,1.8075,1.8108,1.8062,1.8135
0405,1.8007,1.8039,1.7994,1.8066
0408,1.7881,1.7913,1.7868,1.7940
0409,1.7830,1.7862,1.7818,1.7889
0410,1.7834,1.7866,1.7822,1.7893
0411,1.7849,1.7881,1.7837,1.7908
0412,1.7883,1.7915,1.7870,1.7942
0415,1.7890,1.7922,1.7877,1.7949
0416,1.7921,1.7954,1.7908,1.7981
0417,1.7887,1.7920,1.7874,1.7947
0418,1.7944,1.7976,1.7931,1.8003
0419,1.7965,1.7997,1.7952,1.8024
0422,1.8016,1.8048,1.8003,1.8075
0424,1.8034,1.8066,1.8021,1.8093
0425,1.7990,1.8022,1.7977,1.8049
0426,1.8004,1.8036,1.7991,1.8063
0429,1.7953,1.7985,1.7940,1.8012
0430,1.7963,1.7995,1.7950,1.8022
0502,1.7927,1.7959,1.7914,1.7986
0503,1.7942,1.7974,1.7929,1.8001
0506,1.7947,1.7979,1.7934,1.8006
0507,1.7991,1.8023,1.7978,1.8050
0508,1.7938,1.7970,1.7925,1.7997
0509,1.7899,1.7932,1.7886,1.7959
0510,1.8001,1.8033,1.7988,1.8060
0513,1.8059,1.8092,1.8046,1.8119
0514,1.8102,1.8134,1.8089,1.8161
0515,1.8201,1.8234,1.8188,1.8261
0516,1.8227,1.8260,1.8214,1.8287
0517,1.8343,1.8376,1.8330,1.8404
0520,1.8428,1.8461,1.8415,1.8489
0521,1.8475,1.8508,1.8462,1.8536
0522,1.8401,1.8434,1.8388,1.8462
0523,1.8502,1.8535,1.8489,1.8563
0524,1.8433,1.8466,1.8420,1.8494
0527,1.8442,1.8475,1.8429,1.8503
0528,1.8487,1.8520,1.8474,1.8548
0529,1.8642,1.8676,1.8629,1.8704
0530,1.8661,1.8695,1.8648,1.8723
0531,1.8842,1.8876,1.8829,1.8904
0603,1.8902,1.8936,1.8889,1.8964
0604,1.8745,1.8779,1.8732,1.8807
0605,1.8796,1.8830,1.8783,1.8858
0606,1.8860,1.8894,1.8847,1.8922
0607,1.8862,1.8896,1.8849,1.8924
0610,1.8941,1.8975,1.8928,1.9003
0611,1.8943,1.8977,1.8930,1.9005
0612,1.8758,1.8792,1.8745,1.8820
0613,1.8680,1.8713,1.8667,1.8741
0614,1.8534,1.8567,1.8521,1.8595
0617,1.8654,1.8688,1.8641,1.8716
0618,1.8758,1.8792,1.8745,1.8820
0619,1.8811,1.8845,1.8798,1.8873
0620,1.9166,1.9200,1.9153,1.9229
0621,1.9312,1.9347,1.9298,1.9376
0624,1.9407,1.9442,1.9393,1.9471
0625,1.9339,1.9373,1.9325,1.9402
0626,1.9320,1.9355,1.9306,1.9384
0627,1.9272,1.9306,1.9259,1.9335
0628,1.9248,1.9282,1.9235,1.9311
0701,1.9235,1.9269,1.9222,1.9298
0702,1.9216,1.9250,1.9203,1.9279
0703,1.9477,1.9512,1.9463,1.9541
0704,1.9482,1.9517,1.9468,1.9546
0705,1.9474,1.9509,1.9460,1.9538
0708,1.9510,1.9545,1.9496,1.9574
0709,1.9386,1.9421,1.9372,1.9450
0710,1.9436,1.9471,1.9422,1.9500
0711,1.9400,1.9435,1.9386,1.9464
0712,1.9573,1.9608,1.9559,1.9637
0715,1.9409,1.9444,1.9395,1.9473
0716,1.9276,1.9311,1.9263,1.9340
0717,1.9252,1.9287,1.9239,1.9316
0718,1.9164,1.9199,1.9151,1.9228
0719,1.9213,1.9247,1.9200,1.9276
0722,1.9151,1.9186,1.9138,1.9215
0723,1.9117,1.9152,1.9104,1.9181
0724,1.9068,1.9103,1.9055,1.9132
0725,1.9247,1.9282,1.9234,1.9311
0726,1.9201,1.9236,1.9188,1.9265
0729,1.9235,1.9270,1.9222,1.9299
0730,1.9241,1.9276,1.9228,1.9305
0731,1.9309,1.9343,1.9295,1.9372
0801,1.9349,1.9384,1.9335,1.9413
0802,1.9453,1.9488,1.9439,1.9517
0805,1.9282,1.9316,1.9269,1.9345
0806,1.9292,1.9327,1.9278,1.9356
0812,1.9231,1.9265,1.9218,1.9294
0813,1.9255,1.9290,1.9242,1.9319
0814,1.9358,1.9392,1.9344,1.9421
0815,1.9286,1.9321,1.9272,1.9350
0816,1.9342,1.9377,1.9328,1.9406
0819,1.9468,1.9503,1.9454,1.9532
0820,1.9480,1.9515,1.9466,1.9544
0821,1.9580,1.9615,1.9566,1.9644
0822,1.9835,1.9871,1.9821,1.9901
0823,1.9849,1.9885,1.9835,1.9915
0826,1.9951,1.9987,1.9937,2.0017
0827,2.0225,2.0262,2.0211,2.0292
0828,2.0557,2.0594,2.0543,2.0625
0829,2.0311,2.0348,2.0297,2.0379
0902,2.0160,2.0197,2.0146,2.0227
0903,2.0415,2.0452,2.0401,2.0483
0904,2.0540,2.0577,2.0526,2.0608
0905,2.0732,2.0770,2.0717,2.0801
0906,2.0630,2.0668,2.0616,2.0699
0909,2.0383,2.0420,2.0369,2.0451
0910,2.0285,2.0321,2.0271,2.0351
0911,2.0137,2.0173,2.0123,2.0203
0912,2.0213,2.0250,2.0199,2.0280
0913,2.0257,2.0294,2.0243,2.0324
0916,1.9927,1.9963,1.9913,1.9993
0917,2.0045,2.0081,2.0031,2.0111
0918,2.0023,2.0059,2.0009,2.0089
0919,1.9522,1.9557,1.9508,1.9586
0920,1.9720,1.9755,1.9706,1.9785
0923,1.9856,1.9892,1.9842,1.9922
0924,1.9946,1.9981,1.9932,2.0011
0925,2.0034,2.0070,2.0020,2.0100
0926,2.0123,2.0159,2.0109,2.0189
0927,2.0342,2.0378,2.0328,2.0409
0930,2.0365,2.0402,2.0351,2.0433
1001,2.0102,2.0138,2.0088,2.0168
1002,2.0187,2.0223,2.0173,2.0253
1003,1.9989,2.0025,1.9975,2.0055
1004,1.9964,2.0000,1.9950,2.0030
1007,1.9961,1.9997,1.9947,2.0027
1008,1.9875,1.9911,1.9861,1.9941
1009,1.9871,1.9907,1.9857,1.9937
1010,1.9775,1.9811,1.9761,1.9841
1011,1.9764,1.9799,1.9750,1.9829
1021,1.9746,1.9782,1.9732,1.9812
1022,1.9802,1.9837,1.9788,1.9867
1023,1.9738,1.9773,1.9724,1.9803
1024,1.9760,1.9796,1.9746,1.9826
1025,1.9853,1.9888,1.9839,1.9918
1030,1.9888,1.9923,1.9874,1.9953
1031,1.9895,1.9930,1.9881,1.9960
1101,2.0063,2.0099,2.0049,2.0129
1104,2.0178,2.0214,2.0164,2.0244
1105,2.0235,2.0271,2.0221,2.0301
1106,2.0262,2.0299,2.0248,2.0329
1107,2.0306,2.0343,2.0292,2.0374
1108,2.0265,2.0302,2.0251,2.0332
1111,2.0358,2.0395,2.0344,2.0426
1112,2.0500,2.0537,2.0486,2.0568
1113,2.0516,2.0553,2.0502,2.0584
1114,2.0442,2.0479,2.0428,2.0510
1115,2.0374,2.0411,2.0360,2.0442
1118,2.0201,2.0238,2.0187,2.0268
1119,2.0169,2.0206,2.0155,2.0236
1120,2.0098,2.0134,2.0084,2.0164
1121,2.0181,2.0217,2.0167,2.0247
1122,2.0164,2.0201,2.0150,2.0231
1125,1.9969,2.0005,1.9955,2.0035
1126,2.0071,2.0107,2.0057,2.0137
1127,2.0154,2.0190,2.0140,2.0220
1128,2.0166,2.0203,2.0152,2.0233
1129,2.0174,2.0211,2.0160,2.0241
1202,2.0282,2.0319,2.0268,2.0349
1203,2.0359,2.0395,2.0345,2.0426
1204,2.0455,2.0492,2.0441,2.0523
1205,2.0482,2.0519,2.0468,2.0550
1206,2.0394,2.0431,2.0380,2.0462
1209,2.0313,2.0349,2.0299,2.0380
1210,2.0265,2.0301,2.0251,2.0331
1211,2.0294,2.0330,2.0280,2.0360
1212,2.0370,2.0407,2.0356,2.0438
1213,2.0404,2.0441,2.0390,2.0472
1216,2.0337,2.0373,2.0323,2.0404
1217,2.0372,2.0409,2.0358,2.0440
1218,2.0423,2.0459,2.0409,2.0490
1219,2.0608,2.0645,2.0594,2.0676
1220,2.0890,2.0928,2.0875,2.0959
1223,2.0877,2.0914,2.0862,2.0945
1224,2.0812,2.0849,2.0797,2.0880
1225,2.0710,2.0748,2.0696,2.0779
1226,2.0957,2.0994,2.0942,2.1025
1227,2.1604,2.1642,2.1589,2.1674
1230,2.1343,2.1381,2.1328,2.1413
1231,2.1304,2.1343,2.1289,2.1375